selector,rank,feature,importance,outer_fold
Random_Forest_Importance_19,38,mqtt.conflag.cleansess,0.00012802511481266988,4
Random_Forest_Importance_19,39,mqtt.proto_len,9.543786381724392e-05,4
Random_Forest_Importance_19,40,mqtt.conflags,8.789997478570088e-05,4
Random_Forest_Importance_19,41,dns.retransmission,4.499591116735689e-06,4
Random_Forest_Importance_19,42,dns.retransmit_request,0.0,4
Mutual_Information_19,1,tcp.dstport,1.4138365754427835,5
Mutual_Information_19,2,tcp.srcport,1.3686265222446408,5
Mutual_Information_19,3,tcp.ack,1.3258381932262364,5
Mutual_Information_19,4,tcp.seq,1.0312441068105587,5
Mutual_Information_19,5,tcp.ack_raw,0.9842840001375328,5
Mutual_Information_19,6,tcp.flags,0.8022910185879386,5
Mutual_Information_19,7,http.request.version,0.7169904693299398,5
Mutual_Information_19,8,http.request.method,0.7101501115982103,5
Mutual_Information_19,9,tcp.len,0.6815423496169943,5
Mutual_Information_19,10,http.referer,0.5014285523135449,5
Mutual_Information_19,11,tcp.checksum,0.4389650768230293,5
Mutual_Information_19,12,mqtt.conack.flags,0.4343841571899212,5
Mutual_Information_19,13,mqtt.protoname,0.4342613983328487,5
Mutual_Information_19,14,mqtt.topic,0.43357775958514466,5
Mutual_Information_19,15,udp.stream,0.3071172158939337,5
Mutual_Information_19,16,icmp.checksum,0.3023047453629255,5
Mutual_Information_19,17,tcp.flags.ack,0.3006576883586516,5
Mutual_Information_19,18,icmp.seq_le,0.29757865475828504,5
Mutual_Information_19,19,http.content_length,0.18293604501365834,5
Mutual_Information_19,20,tcp.connection.syn,0.10683028094937219,5
Mutual_Information_19,21,tcp.connection.rst,0.09170000643564125,5
Mutual_Information_19,22,http.response,0.07192595668667323,5
Mutual_Information_19,23,mqtt.msgtype,0.06490784985512166,5
Mutual_Information_19,24,mqtt.hdrflags,0.06340816432031948,5
Mutual_Information_19,25,tcp.connection.fin,0.04784585241927619,5
Mutual_Information_19,26,mqtt.len,0.045361962764066455,5
Mutual_Information_19,27,dns.qry.name,0.02804692363147465,5
Mutual_Information_19,28,tcp.connection.synack,0.02507623519491098,5
Mutual_Information_19,29,udp.port,0.01960637157601175,5
Mutual_Information_19,30,mqtt.conflags,0.01878006629808482,5
Mutual_Information_19,31,arp.hw.size,0.01828959841736566,5
Mutual_Information_19,32,arp.opcode,0.017221445732610974,5
Mutual_Information_19,33,mqtt.conflag.cleansess,0.016098717290423448,5
Mutual_Information_19,34,mqtt.proto_len,0.01594057242979785,5
Mutual_Information_19,35,mqtt.topic_len,0.015815249737867187,5
Mutual_Information_19,36,mqtt.ver,0.014832358634708331,5
Mutual_Information_19,37,udp.time_delta,0.013660038865504376,5
Mutual_Information_19,38,dns.qry.qu,0.00905255699146501,5
Mutual_Information_19,39,dns.qry.name.len,0.007906444265324719,5
Mutual_Information_19,40,icmp.transmit_timestamp,0.003213806530593555,5
Mutual_Information_19,41,dns.retransmit_request,0.002356274198429542,5
Mutual_Information_19,42,dns.retransmission,0.0,5
Random_Forest_Importance_19,1,tcp.srcport,0.11841120621382988,5
Random_Forest_Importance_19,2,tcp.ack,0.10461562301323234,5
Random_Forest_Importance_19,3,tcp.dstport,0.0992109723761252,5
Random_Forest_Importance_19,4,tcp.len,0.07479766800474157,5
Random_Forest_Importance_19,5,http.referer,0.07475645013712755,5
Random_Forest_Importance_19,6,tcp.seq,0.06289771255095775,5
Random_Forest_Importance_19,7,icmp.seq_le,0.05697314491758891,5
Random_Forest_Importance_19,8,http.request.version,0.045414617994179625,5
Random_Forest_Importance_19,9,udp.stream,0.043953119287591706,5
Random_Forest_Importance_19,10,http.request.method,0.03759135891283043,5
Random_Forest_Importance_19,11,tcp.ack_raw,0.03557058159633864,5
Random_Forest_Importance_19,12,tcp.flags,0.03497094580864223,5
Random_Forest_Importance_19,13,icmp.checksum,0.02589060813658561,5
Random_Forest_Importance_19,14,mqtt.topic,0.02536324412464091,5
Random_Forest_Importance_19,15,tcp.checksum,0.02504909273091652,5
Random_Forest_Importance_19,16,mqtt.conack.flags,0.023266771340772253,5
Random_Forest_Importance_19,17,mqtt.protoname,0.0193883404658051,5
Random_Forest_Importance_19,18,udp.port,0.0163672061202579,5
Random_Forest_Importance_19,19,http.content_length,0.015637504204863383,5
Random_Forest_Importance_19,20,tcp.connection.rst,0.013415589336565817,5
Random_Forest_Importance_19,21,udp.time_delta,0.013019649523856255,5
Random_Forest_Importance_19,22,tcp.connection.syn,0.007263648048409571,5
Random_Forest_Importance_19,23,tcp.flags.ack,0.0063172760076040885,5
