outer_fold,selector,rank,feature,importance
5,Random_Forest_Importance_Matched,23,ssl_resumed,0.00028771369626311486
5,Random_Forest_Importance_Matched,24,ssl_version,0.00027593706232176485
5,Random_Forest_Importance_Matched,25,weird_notice,0.00012880397777317613
5,Random_Forest_Importance_Matched,26,http_trans_depth,0.00012383133672460466
5,Random_Forest_Importance_Matched,27,weird_name,0.00011599817628306118
5,Random_Forest_Importance_Matched,28,http_method,0.00011169375930131971
5,Random_Forest_Importance_Matched,29,http_version,0.00011039920556127244
5,Random_Forest_Importance_Matched,30,http_status_code,0.00010759072698668947
5,Random_Forest_Importance_Matched,31,http_response_body_len,9.010637562462123e-05
5,Random_Forest_Importance_Matched,32,http_resp_mime_types,5.455741402024606e-05
5,Random_Forest_Importance_Matched,33,http_orig_mime_types,5.002280622077672e-06
5,Random_Forest_Importance_Matched,34,http_request_body_len,3.814089957281218e-06
