fold,method,feature,importance,rank
1,Class_Balanced,http.response,0.0008089897,31
1,Class_Balanced,icmp.checksum,0.2556846,12
1,Class_Balanced,icmp.seq_le,0.38453585,9
1,Class_Balanced,icmp.transmit_timestamp,0.0074201724,27
1,Class_Balanced,mqtt.conack.flags,0.41779393,7
1,Class_Balanced,mqtt.conflag.cleansess,0.0,33
1,Class_Balanced,mqtt.conflags,0.0,33
1,Class_Balanced,mqtt.hdrflags,0.00050521677,32
1,Class_Balanced,mqtt.len,0.0,33
1,Class_Balanced,mqtt.msgtype,0.0,33
1,Class_Balanced,mqtt.proto_len,0.0,33
1,Class_Balanced,mqtt.protoname,0.091966264,19
1,Class_Balanced,mqtt.topic,0.013879075,25
1,Class_Balanced,mqtt.topic_len,0.0,33
1,Class_Balanced,mqtt.ver,0.0,33
1,Class_Balanced,tcp.ack,0.86981577,1
1,Class_Balanced,tcp.ack_raw,0.1842546,14
1,Class_Balanced,tcp.checksum,0.10363258,18
1,Class_Balanced,tcp.connection.fin,0.029511789,22
1,Class_Balanced,tcp.connection.rst,0.106028564,17
1,Class_Balanced,tcp.connection.syn,0.11953262,15
1,Class_Balanced,tcp.connection.synack,0.012088333,26
1,Class_Balanced,tcp.dstport,0.8662902,2
1,Class_Balanced,tcp.flags,0.21630181,13
1,Class_Balanced,tcp.flags.ack,0.00183729,30
1,Class_Balanced,tcp.len,0.6273117,5
1,Class_Balanced,tcp.seq,0.2954665,11
1,Class_Balanced,tcp.srcport,0.8614699,3
1,Class_Balanced,udp.port,0.023442142,24
1,Class_Balanced,udp.stream,0.44201753,6
1,Class_Balanced,udp.time_delta,0.108170964,16
1,Minority_Diagnostic,arp.hw.size,0.0034378567,23
1,Minority_Diagnostic,arp.opcode,0.021922354,14
1,Minority_Diagnostic,dns.qry.name,0.0005854907,25
1,Minority_Diagnostic,dns.qry.name.len,0.017835926,17
1,Minority_Diagnostic,dns.qry.qu,0.0,27
1,Minority_Diagnostic,dns.retransmission,0.0,27
1,Minority_Diagnostic,dns.retransmit_request,0.0,27
1,Minority_Diagnostic,http.content_length,0.0,27
1,Minority_Diagnostic,http.referer,0.0213468,15
1,Minority_Diagnostic,http.request.method,0.28289077,8
1,Minority_Diagnostic,http.request.version,0.43934166,7
1,Minority_Diagnostic,http.response,0.0,27
1,Minority_Diagnostic,icmp.checksum,0.55757433,5
1,Minority_Diagnostic,icmp.seq_le,0.52425706,6
1,Minority_Diagnostic,icmp.transmit_timestamp,0.05491056,11
1,Minority_Diagnostic,mqtt.conack.flags,0.006618897,22
1,Minority_Diagnostic,mqtt.conflag.cleansess,0.0,27
1,Minority_Diagnostic,mqtt.conflags,0.0,27
1,Minority_Diagnostic,mqtt.hdrflags,0.0,27
1,Minority_Diagnostic,mqtt.len,0.0,27
1,Minority_Diagnostic,mqtt.msgtype,0.0,27
1,Minority_Diagnostic,mqtt.proto_len,0.0,27
1,Minority_Diagnostic,mqtt.protoname,3.601951e-05,26
1,Minority_Diagnostic,mqtt.topic,0.0,27
1,Minority_Diagnostic,mqtt.topic_len,0.0,27
1,Minority_Diagnostic,mqtt.ver,0.0,27
1,Minority_Diagnostic,tcp.ack,0.022252275,13
1,Minority_Diagnostic,tcp.ack_raw,0.008403509,20
1,Minority_Diagnostic,tcp.checksum,0.013707851,19
1,Minority_Diagnostic,tcp.connection.fin,0.0,27
1,Minority_Diagnostic,tcp.connection.rst,0.019060262,16
1,Minority_Diagnostic,tcp.connection.syn,0.02621362,12
1,Minority_Diagnostic,tcp.connection.synack,0.0,27
1,Minority_Diagnostic,tcp.dstport,0.5962459,4
1,Minority_Diagnostic,tcp.flags,0.22688343,9
1,Minority_Diagnostic,tcp.flags.ack,0.0012376411,24
1,Minority_Diagnostic,tcp.len,3.2469218,1
1,Minority_Diagnostic,tcp.seq,0.008373906,21
1,Minority_Diagnostic,tcp.srcport,1.4353958,2
1,Minority_Diagnostic,udp.port,0.17512275,10
1,Minority_Diagnostic,udp.stream,0.016401298,18
1,Minority_Diagnostic,udp.time_delta,0.8112822,3
2,Natural_Global,arp.hw.size,0.008063144,25
