method,feature,importance,rank,outer_fold,inner_fold
Class_Balanced,tcp.connection.fin,0.025436372,23,1,3
Class_Balanced,tcp.connection.rst,0.110890955,17,1,3
Class_Balanced,tcp.connection.syn,0.07289341,19,1,3
Class_Balanced,tcp.connection.synack,0.010994492,26,1,3
Class_Balanced,tcp.dstport,0.9202375,1,1,3
Class_Balanced,tcp.flags,0.22038028,12,1,3
Class_Balanced,tcp.flags.ack,0.006226909,27,1,3
Class_Balanced,tcp.len,0.5822913,5,1,3
Class_Balanced,tcp.seq,0.31071097,11,1,3
Class_Balanced,tcp.srcport,0.8582074,2,1,3
Class_Balanced,udp.port,0.04497507,22,1,3
Class_Balanced,udp.stream,0.4556203,6,1,3
Class_Balanced,udp.time_delta,0.13091892,16,1,3
Minority_Diagnostic,arp.hw.size,0.0025351986,22,1,3
Minority_Diagnostic,arp.opcode,0.021483641,15,1,3
Minority_Diagnostic,dns.qry.name,0.0010269171,23,1,3
Minority_Diagnostic,dns.qry.name.len,0.0,24,1,3
Minority_Diagnostic,dns.qry.qu,0.0,24,1,3
Minority_Diagnostic,dns.retransmission,0.0,24,1,3
Minority_Diagnostic,dns.retransmit_request,0.0,24,1,3
Minority_Diagnostic,http.content_length,0.0,24,1,3
Minority_Diagnostic,http.referer,0.015330816,16,1,3
Minority_Diagnostic,http.request.method,0.25096142,9,1,3
Minority_Diagnostic,http.request.version,0.38118076,7,1,3
Minority_Diagnostic,http.response,0.0,24,1,3
Minority_Diagnostic,icmp.checksum,0.53938127,5,1,3
Minority_Diagnostic,icmp.seq_le,0.43936965,6,1,3
Minority_Diagnostic,icmp.transmit_timestamp,0.08099422,11,1,3
Minority_Diagnostic,mqtt.conack.flags,0.003251096,21,1,3
Minority_Diagnostic,mqtt.conflag.cleansess,0.0,24,1,3
Minority_Diagnostic,mqtt.conflags,0.0,24,1,3
Minority_Diagnostic,mqtt.hdrflags,0.0,24,1,3
Minority_Diagnostic,mqtt.len,0.0,24,1,3
Minority_Diagnostic,mqtt.msgtype,0.0,24,1,3
Minority_Diagnostic,mqtt.proto_len,0.0,24,1,3
Minority_Diagnostic,mqtt.protoname,0.0,24,1,3
Minority_Diagnostic,mqtt.topic,0.0,24,1,3
Minority_Diagnostic,mqtt.topic_len,0.0,24,1,3
Minority_Diagnostic,mqtt.ver,0.0,24,1,3
Minority_Diagnostic,tcp.ack,0.03320413,14,1,3
Minority_Diagnostic,tcp.ack_raw,0.052244186,12,1,3
Minority_Diagnostic,tcp.checksum,0.010775138,17,1,3
Minority_Diagnostic,tcp.connection.fin,0.0,24,1,3
Minority_Diagnostic,tcp.connection.rst,0.01006739,18,1,3
Minority_Diagnostic,tcp.connection.syn,0.03688219,13,1,3
Minority_Diagnostic,tcp.connection.synack,0.0,24,1,3
Minority_Diagnostic,tcp.dstport,0.7563271,4,1,3
Minority_Diagnostic,tcp.flags,0.22399797,10,1,3
Minority_Diagnostic,tcp.flags.ack,0.0,24,1,3
Minority_Diagnostic,tcp.len,2.90586,1,1,3
Minority_Diagnostic,tcp.seq,0.0070493845,20,1,3
Minority_Diagnostic,tcp.srcport,1.5461805,2,1,3
Minority_Diagnostic,udp.port,0.33700916,8,1,3
Minority_Diagnostic,udp.stream,0.007984837,19,1,3
Minority_Diagnostic,udp.time_delta,0.9818919,3,1,3
Natural_Global,arp.hw.size,0.00781479,24,1,4
Natural_Global,arp.opcode,0.043468315,19,1,4
Natural_Global,dns.qry.name,0.026513612,20,1,4
Natural_Global,dns.qry.name.len,0.0,32,1,4
Natural_Global,dns.qry.qu,0.0,32,1,4
Natural_Global,dns.retransmission,0.0,32,1,4
Natural_Global,dns.retransmit_request,0.0,32,1,4
Natural_Global,http.content_length,0.018798,21,1,4
Natural_Global,http.referer,1.1208836,1,1,4
Natural_Global,http.request.method,0.7456769,3,1,4
Natural_Global,http.request.version,0.5551714,5,1,4
Natural_Global,http.response,0.001369609,28,1,4
Natural_Global,icmp.checksum,0.35825056,8,1,4
Natural_Global,icmp.seq_le,0.18383053,10,1,4
Natural_Global,icmp.transmit_timestamp,0.00069991674,29,1,4
Natural_Global,mqtt.conack.flags,0.4129819,7,1,4
Natural_Global,mqtt.conflag.cleansess,0.0,32,1,4
Natural_Global,mqtt.conflags,0.0,32,1,4
Natural_Global,mqtt.hdrflags,0.0003754968,30,1,4
Natural_Global,mqtt.len,0.0,32,1,4
Natural_Global,mqtt.msgtype,0.0,32,1,4
Natural_Global,mqtt.proto_len,0.0,32,1,4
Natural_Global,mqtt.protoname,0.09550198,16,1,4
Natural_Global,mqtt.topic,0.010846654,23,1,4
Natural_Global,mqtt.topic_len,0.0,32,1,4
Natural_Global,mqtt.ver,0.0,32,1,4
Natural_Global,tcp.ack,0.4780764,6,1,4
Natural_Global,tcp.ack_raw,0.14433238,11,1,4
Natural_Global,tcp.checksum,0.10608973,14,1,4
Natural_Global,tcp.connection.fin,0.014754298,22,1,4
Natural_Global,tcp.connection.rst,0.060734376,17,1,4
Natural_Global,tcp.connection.syn,0.044387244,18,1,4
Natural_Global,tcp.connection.synack,0.007728664,25,1,4
Natural_Global,tcp.dstport,0.64529973,4,1,4
Natural_Global,tcp.flags,0.104542136,15,1,4
Natural_Global,tcp.flags.ack,0.00244651,27,1,4
Natural_Global,tcp.len,0.123405285,13,1,4
Natural_Global,tcp.seq,0.14099897,12,1,4
Natural_Global,tcp.srcport,0.8807665,2,1,4
Natural_Global,udp.port,0.0029984084,26,1,4
Natural_Global,udp.stream,0.2788498,9,1,4
Natural_Global,udp.time_delta,0.00019032601,31,1,4
Class_Balanced,arp.hw.size,0.0045290897,28,1,4
Class_Balanced,arp.opcode,0.02094427,23,1,4
Class_Balanced,dns.qry.name,0.049898293,20,1,4
Class_Balanced,dns.qry.name.len,0.0,32,1,4
Class_Balanced,dns.qry.qu,0.0,32,1,4
Class_Balanced,dns.retransmission,0.0,32,1,4
Class_Balanced,dns.retransmit_request,0.0,32,1,4
Class_Balanced,http.content_length,0.04752853,21,1,4
Class_Balanced,http.referer,0.73795134,4,1,4
Class_Balanced,http.request.method,0.42368194,6,1,4
Class_Balanced,http.request.version,0.2807569,11,1,4
Class_Balanced,http.response,0.0028592166,29,1,4
Class_Balanced,icmp.checksum,0.27379736,12,1,4
Class_Balanced,icmp.seq_le,0.36513,9,1,4
Class_Balanced,icmp.transmit_timestamp,0.0077929134,26,1,4
Class_Balanced,mqtt.conack.flags,0.40040496,8,1,4
Class_Balanced,mqtt.conflag.cleansess,0.0,32,1,4
Class_Balanced,mqtt.conflags,0.0,32,1,4
Class_Balanced,mqtt.hdrflags,0.00036617674,31,1,4
Class_Balanced,mqtt.len,0.0,32,1,4
Class_Balanced,mqtt.msgtype,0.0,32,1,4
Class_Balanced,mqtt.proto_len,0.0,32,1,4
Class_Balanced,mqtt.protoname,0.1010265,18,1,4
Class_Balanced,mqtt.topic,0.010097676,25,1,4
Class_Balanced,mqtt.topic_len,0.0,32,1,4
Class_Balanced,mqtt.ver,0.0,32,1,4
Class_Balanced,tcp.ack,0.8573864,2,1,4
Class_Balanced,tcp.ack_raw,0.21081519,13,1,4
Class_Balanced,tcp.checksum,0.1132905,17,1,4
Class_Balanced,tcp.connection.fin,0.03194546,22,1,4
Class_Balanced,tcp.connection.rst,0.13036756,16,1,4
Class_Balanced,tcp.connection.syn,0.09126708,19,1,4
Class_Balanced,tcp.connection.synack,0.011572081,24,1,4
Class_Balanced,tcp.dstport,0.91217256,1,1,4
Class_Balanced,tcp.flags,0.15206197,15,1,4
Class_Balanced,tcp.flags.ack,0.0023827844,30,1,4
Class_Balanced,tcp.len,0.5765164,5,1,4
Class_Balanced,tcp.seq,0.29736087,10,1,4
Class_Balanced,tcp.srcport,0.8143968,3,1,4
Class_Balanced,udp.port,0.16183618,14,1,4
Class_Balanced,udp.stream,0.42242426,7,1,4
Class_Balanced,udp.time_delta,0.005300885,27,1,4
Minority_Diagnostic,arp.hw.size,0.0044043334,22,1,4
Minority_Diagnostic,arp.opcode,0.03306696,11,1,4
Minority_Diagnostic,dns.qry.name,0.0022050403,23,1,4
Minority_Diagnostic,dns.qry.name.len,0.0,24,1,4
Minority_Diagnostic,dns.qry.qu,0.0,24,1,4
Minority_Diagnostic,dns.retransmission,0.0,24,1,4
Minority_Diagnostic,dns.retransmit_request,0.0,24,1,4
Minority_Diagnostic,http.content_length,0.0,24,1,4
Minority_Diagnostic,http.referer,0.022218037,16,1,4
Minority_Diagnostic,http.request.method,0.2447068,8,1,4
Minority_Diagnostic,http.request.version,0.40695834,7,1,4
Minority_Diagnostic,http.response,0.0,24,1,4
Minority_Diagnostic,icmp.checksum,0.58079183,5,1,4
Minority_Diagnostic,icmp.seq_le,0.45111313,6,1,4
Minority_Diagnostic,icmp.transmit_timestamp,0.057986744,9,1,4
Minority_Diagnostic,mqtt.conack.flags,0.0076478883,21,1,4
Minority_Diagnostic,mqtt.conflag.cleansess,0.0,24,1,4
Minority_Diagnostic,mqtt.conflags,0.0,24,1,4
Minority_Diagnostic,mqtt.hdrflags,0.0,24,1,4
Minority_Diagnostic,mqtt.len,0.0,24,1,4
Minority_Diagnostic,mqtt.msgtype,0.0,24,1,4
Minority_Diagnostic,mqtt.proto_len,0.0,24,1,4
Minority_Diagnostic,mqtt.protoname,0.0,24,1,4
Minority_Diagnostic,mqtt.topic,0.0,24,1,4
Minority_Diagnostic,mqtt.topic_len,0.0,24,1,4
